portion_id	portion_submitter_id	case_id	case_submitter_id	project_id	sample_id	sample_submitter_id	state	portion_number	weight	is_ffpe
75406fea-17a7-4b0f-bd5f-e17bac8b1a61	TCGA-06-0184-10B-01	1f48f010-98fe-4b5a-b96a-14fb25eff23f	TCGA-06-0184	TCGA-GBM	001a9bb8-8a78-440c-bcc2-02c6058b1c6d	TCGA-06-0184-10B	released	01	--	False
af1a25b6-3766-4d1d-af94-a5a02fbb4024	TCGA-06-0184-01A-01	1f48f010-98fe-4b5a-b96a-14fb25eff23f	TCGA-06-0184	TCGA-GBM	cba96ed9-c028-401e-8a8f-909513c8c215	TCGA-06-0184-01A	released	01	--	False
a6b76613-6fd8-4f46-aeaa-01c363206647	TCGA-12-0616-01A-01	edcfac32-adb4-4fe7-86a0-309d3c6430e5	TCGA-12-0616	TCGA-GBM	df94e750-c66a-45ed-ad6c-5d690a216575	TCGA-12-0616-01A	released	01	154.0	False
74d0ffd2-6fe1-4b4e-ae6f-d9b1a662138c	TCGA-12-0616-10A-01	edcfac32-adb4-4fe7-86a0-309d3c6430e5	TCGA-12-0616	TCGA-GBM	59acb2c9-a4ec-42ef-8bea-7b7d14b47bc4	TCGA-12-0616-10A	released	01	--	False
9bf40610-3d03-4d8e-a56a-4766cfcbf687	TCGA-06-0219-01A-01	25f41de3-9d70-45df-913f-4fb3e5f0f7d6	TCGA-06-0219	TCGA-GBM	777d18d4-9cf8-4e39-84f9-8dfe59aa568c	TCGA-06-0219-01A	released	01	--	False
1af864f4-4846-43a0-86ba-5c120eed107a	TCGA-06-0219-10A-01	25f41de3-9d70-45df-913f-4fb3e5f0f7d6	TCGA-06-0219	TCGA-GBM	53e38a2f-7f25-411e-a3f4-e50d6e348b69	TCGA-06-0219-10A	released	01	--	False
d9ca1767-bea0-45c1-ab20-a374558ab485	TCGA-02-0047-01A-01	3caf009f-d9e0-4c57-b1d9-8eb59fc833bd	TCGA-02-0047	TCGA-GBM	9e5f2355-b872-4b5a-94f1-6eef49bb73de	TCGA-02-0047-01A	released	01	--	False
786f1d09-afb6-43d1-9f70-66d9efdd3d78	TCGA-02-0047-10A-01	3caf009f-d9e0-4c57-b1d9-8eb59fc833bd	TCGA-02-0047	TCGA-GBM	37d66e93-e501-4f20-9153-5884f971ba85	TCGA-02-0047-10A	released	01	--	False
535d6439-be95-4634-a88f-9277c9647810	TCGA-06-0190-02A-31-2189-20	74139255-a635-4c87-814d-3dd04ed630a8	TCGA-06-0190	TCGA-GBM	0f0d0c43-9987-4b4c-8686-9b4c89a27c57	TCGA-06-0190-02A	released	31	--	False
adebe23e-5d50-46d2-a129-995ff79b6955	TCGA-06-0190-02A-01	74139255-a635-4c87-814d-3dd04ed630a8	TCGA-06-0190	TCGA-GBM	0f0d0c43-9987-4b4c-8686-9b4c89a27c57	TCGA-06-0190-02A	released	01	134.0	False
